Economy Name,Economy Code,GQII Scores,GQII Rank
Afghanistan,AFG,0.3015,143
Albania,ALB,0.5436,76
Algeria,DZA,0.5398,78
Angola,AGO,0.3984,113
Antigua and Barbuda,ATG,0.1969,171
Argentina,ARG,0.8155,41
Armenia,ARM,0.385,119
Australia,AUS,0.9224,14
Austria,AUT,0.8844,23
Azerbaijan,AZE,0.5165,86
Bahamas,BHS,0.3134,139
"Bahrain, Kingdom of",BHR,0.5006,91
Bangladesh,BGD,0.5087,88
Barbados,BRB,0.3367,132
Belarus,BLR,0.7868,45
Belgium,BEL,0.8248,36
Belize,BLZ,0.2775,156
Benin,BEN,0.3638,124
Bhutan,BTN,0.3121,140
"Bolivia, Plurinational State of",BOL,0.4761,95
Bosnia and Herzegovina,BIH,0.5434,77
Botswana,BWA,0.483,94
Brazil,BRA,0.9225,13
Brunei Darussalam,BRN,0.3191,138
Bulgaria,BGR,0.8227,38
Burkina Faso,BFA,0.3447,129
Burundi,BDI,0.2472,159
Cabo Verde,CPV,0.2654,158
Cambodia,KHM,0.3562,127
Cameroon,CMR,0.3442,130
Canada,CAN,0.9111,19
Central African Republic,CAF,0.1817,177
Chad,TCD,0.2812,154
Chile,CHL,0.7833,46
China,CHN,0.9901,2
Colombia,COL,0.8157,40
Congo,COG,0.1897,173
Costa Rica,CRI,0.6059,65
Côte d’Ivoire,CIV,0.4573,99
Croatia,HRV,0.7042,52
Cuba,CUB,0.4239,106
Cyprus,CYP,0.5017,90
Czech Republic,CZE,0.922,15
Democratic Republic of the Congo,COD,0.4486,102
Denmark,DNK,0.8524,27
Djibouti,DJI,0.185,176
Dominica,DMA,0.2237,162
Dominican Republic,DOM,0.4122,109
Ecuador,ECU,0.6421,59
Egypt,EGY,0.823,37
El Salvador,SLV,0.4274,105
Equatorial Guinea,GNQ,0.1377,180
Estonia,EST,0.6099,64
Eswatini,SWZ,0.3572,126
Ethiopia,ETH,0.5234,85
Fiji,FJI,0.3236,136
Finland,FIN,0.864,25
France,FRA,0.9725,6
Gabon,GAB,0.3301,134
Gambia,GMB,0.2658,157
Georgia,GEO,0.5067,89
Germany,DEU,0.9958,1
Ghana,GHA,0.4646,98
Greece,GRC,0.8264,35
Grenada,GRD,0.1977,170
Guatemala,GTM,0.4044,111
Guinea,GIN,0.1887,174
Guinea-Bissau,GNB,0.2826,153
Guyana,GUY,0.3109,141
Haiti,HTI,0.204,169
Honduras,HND,0.3557,128
"Hong Kong, China",HKG,0.586,69
Hungary,HUN,0.8849,22
Iceland,ISL,0.4493,101
India,IND,0.931,10
Indonesia,IDN,0.8492,28
Iran,IRN,0.6017,67
Iraq,IRQ,0.527,83
Ireland,IRL,0.7916,44
Israel,ISR,0.7006,53
Italy,ITA,0.9567,8
Jamaica,JAM,0.4511,100
Japan,JPN,0.9759,5
Jordan,JOR,0.5521,74
Kazakhstan,KAZ,0.7545,48
Kenya,KEN,0.6982,54
"Korea, Republic of",KOR,0.9617,7
Kosovo,XKX,0.22,165
"Kuwait, the State of",KWT,0.4959,92
Kyrgyz Republic,KGZ,0.305,142
Lao People’s Democratic Republic,LAO,0.2963,146
Latvia,LVA,0.5499,75
Lebanese Republic,LBN,0.3947,115
Lesotho,LSO,0.2776,155
