Economy Name,Economy Code,Status BIPM,RMO,ISO Membership,IEC Membership,GQII Scores,GQII Rank,CMC Coverage,CIPM - Cons. Committees,Key Comparisons,Supplementary Comparisons,Count Calibration,ISO - TC Observing,ISO - TC Participating,IEC Observing Member,IEC Participating Member,ISO MS Certificates,CAB Coverage*,Count Product Certification,Count Management System Certification,Count Testing
Afghanistan,AFG,,,Member body,Affiliate,0.3015,143,0%,,,,,5,,,,20,0%,,,1
Albania,ALB,Associate of the CGPM,EURAMET,Correspondent member,Associate Member,0.5436,76,11%,,8,4,1,5,,0,2,691,71%,1,9,36
Algeria,DZA,,,Member body,Full Member,0.5398,78,0%,,,,14,38,34,2,1,753,47%,1,3,33
Angola,AGO,,,Correspondent member,Affiliate,0.3984,113,0%,,,,0,6,,,,138,6%,0,0,4
Antigua and Barbuda,ATG,Associate of the CGPM,CARICOM,Subscriber member,Affiliate,0.1969,171,0%,,,,,,,,,1,,,,
Argentina,ARG,Member State,SIM,Member body,Full Member,0.8155,41,100%,15%,125,57,22,288,103,21,7,"8,054",71%,31,8,129
Armenia,ARM,,,Member body,Affiliate,0.3850,119,0%,,,,0,41,18,,,85,12%,15,1,21
Australia,AUS,Member State,APMP,Member body,Full Member,0.9224,14,100%,85%,279,56,316,83,299,38,84,"13,827",82%,45,42,"2,034"
Austria,AUT,Member State,EURAMET,Member body,Full Member,0.8844,23,100%,45%,138,47,35,212,349,60,118,"6,151",88%,49,10,210
Azerbaijan,AZE,Associate of the CGPM,COOMET,Member body,Affiliate,0.5165,86,22%,,1,8,44,11,,,,420,65%,19,9,143
Bahamas,BHS,,,Member body,Affiliate,0.3134,139,0%,,,,,4,3,,,21,0%,,,2
"Bahrain, Kingdom of",BHR,,,Member body,Associate Member,0.5006,91,0%,,,,3,17,23,0,2,837,12%,0,0,7
Bangladesh,BGD,Associate of the CGPM,APMP,Member body,Associate Member,0.5087,88,0%,,2,2,13,21,2,0,1,818,41%,1,3,55
Barbados,BRB,Associate of the CGPM,CARICOM,Member body,Affiliate,0.3367,132,0%,,,,,15,11,,,17,0%,,,
Belarus,BLR,Member State,COOMET,Member body,Full Member,0.7868,45,100%,0%,38,67,48,150,21,89,4,"8,041",82%,75,43,"2,134"
Belgium,BEL,Member State,EURAMET,Member body,Full Member,0.8248,36,67%,10%,56,21,41,149,409,58,130,"4,777",65%,33,28,235
Belize,BLZ,Associate of the CGPM,CARICOM,Subscriber member,Affiliate,0.2775,156,0%,,,,,,2,,,3,0%,,,2
Benin,BEN,,,Member body,Affiliate,0.3638,124,0%,,,,2,4,1,,,47,18%,0,0,2
Bhutan,BTN,,,Correspondent member,Affiliate,0.3121,140,0%,,,,,21,,,,53,0%,2,1,
"Bolivia, Plurinational State of",BOL,Associate of the CGPM,SIM,Member body,Affiliate,0.4761,95,22%,,9,26,3,20,11,,,330,53%,2,1,62
Bosnia and Herzegovina,BIH,Associate of the CGPM,EURAMET,Member body,Associate Member,0.5434,77,56%,,14,17,9,96,4,1,0,"1,598",29%,7,1,80
Botswana,BWA,Associate of the CGPM,AFRIMETS,Member body,Affiliate,0.4830,94,11%,,1,5,2,30,8,,,27,24%,0,0,2
Brazil,BRA,Member State,SIM,Member body,Full Member,0.9225,13,100%,75%,237,65,434,67,250,76,43,"21,787",82%,118,75,"1,123"
Brunei Darussalam,BRN,,,Correspondent member,Affiliate,0.3191,138,0%,,,,1,3,2,,,101,0%,,,6
Bulgaria,BGR,Member State,EURAMET,Member body,Full Member,0.8227,38,100%,10%,57,28,23,307,38,142,2,"10,217",76%,19,19,272
Burkina Faso,BFA,,,Member body,Affiliate,0.3447,129,0%,,,,0,5,1,,,35,6%,0,0,4
Burundi,BDI,,,Member body,Affiliate,0.2472,159,0%,,,,,24,3,,,12,,,,
Cabo Verde,CPV,,,,Affiliate,0.2654,158,0%,,,,,,,,,41,0%,,,1
Cambodia,KHM,Associate of the CGPM,APMP,Correspondent member,Affiliate,0.3562,127,0%,,0,0,1,17,,,,141,12%,0,0,6
Cameroon,CMR,,,Member body,Affiliate,0.3442,130,0%,,,,,37,3,,,97,0%,,,4
Canada,CAN,Member State,SIM,Member body,Full Member,0.9111,19,100%,100%,224,34,74,26,321,1,109,"6,369",82%,62,29,548
Central African Republic,CAF,,,,Affiliate,0.1817,177,0%,,,,,,,,,3,,,,
Chad,TCD,,,Correspondent member,Affiliate,0.2812,154,0%,,,,,7,,,,10,0%,,,1
Chile,CHL,Member State,SIM,Member body,Full Member,0.7833,46,56%,0%,20,40,98,98,60,5,1,"4,569",65%,89,48,788
China,CHN,Member State,APMP,Member body,Full Member,0.9901,2,100%,100%,401,81,"1,567",12,733,1,189,"645,121",88%,107,205,"10,483"
Colombia,COL,Member State,SIM,Member body,Full Member,0.8157,40,56%,0%,26,35,198,117,64,9,4,"14,889",82%,42,21,257
Congo,COG,,,,Affiliate,0.1897,173,0%,,,,,,,,,20,,,,
